Project Name,Lat,Lon,Energy,Installed Capacity (kW),Registered As
Acocks Greener [Fox Hollies  Association CIO],52.45059,-1.8165,Solar,17,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Alston Moor Community Energy,54.76621,-2.39719,Solar,24,Community Benefit Society
Ashton Hayes Community Energy,53.21793,-2.74419,Solar,45,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Atlantic Community Energy,51.01678,-4.20508,Solar,7,Private limited Company
Avalon Community Energy ,51.20176,-2.66167,Solar,137,Registered Society
Banister House Solar [Repowering London],51.54862,-0.04636,Solar,102,Registered society
Basingstoke Energy Services Cooperative,51.26816,-1.07409,Solar,800,Registered society
Bath & West Community Energy,51.38251,-2.35897,Solar,12575,Registered society
Baywind Energy Coop ,54.1902,-3.13763,Solar,50,Registered society
Belchford  Solar Co-operative,50.63959,-2.54534,Solar,50,Registered Society
Blackawton Village Hall,50.34632,-3.68031,Solar,14,Council
BradfordCommunity Energy,53.78267,-1.76027,Solar,60,Community Benefit Society
Braunton Parish Council,51.11081,-4.16109,Solar,14,Council
Brendon Energy,51.0434,-3.31031,Solar,217,Registered Society
Brent Pure Energy,51.5365,-0.20765,Solar,101,Community Benefit Society
Brighton & Hove Energy Services Co-op [BHESCo],50.82051,-0.13636,Solar,637,Private limited Company
Brighton Energy ,50.8257,-0.15257,Solar,3760,Registered Society
Bristol Power Cooperative,51.46209,-2.56749,Solar,102,Registered society
Brixton Energy,51.46891,-0.10504,Solar,134,Registered society
Brookvale  Association,51.2657,-1.09926,Solar,18,Charitable incorporated organisation
Burneside Community Energy ,54.3511,-2.76704,Solar,1009,Community Benefit Society
Burnham and Weston Energy C.I.C,51.28047,-2.98667,Solar,9300,"Private limited Company
                       Community Interest Company (CIC)"
Calleva Community Energy,53.21235,-0.74729,Solar,400,Registered Society
Chase  Solar,52.67557,-1.8284,Solar,905,Registered Society
Chelwood Community Energy  [Mongoose],51.48598,-0.11839,Solar,5900,Registered society
Chester Community Energy ,53.18591,-2.87885,Solar,170,Community Benefit Society
 Energy Birmingham ,52.44592,-1.88929,Solar,212,Registered Society
 Energy Cumbria,54.66212,-2.74867,Solar,30,Community Benefit Society
 Energy Warwickshire ,52.18481,-1.69986,Solar,170,Registered Society
 of Okehampton Renewable Energy  (CORES),50.73727,-3.99902,Solar,30,Registered society
 Owned Renewable Energy LLP [CORES],51.48598,-0.11839,Solar,25000,Limited liability partnership
 Power Cornwall,50.28267,-5.20943,Solar,1512,Registered Society
CREW Energy ,51.44121,-0.1999,Solar,70,Community Benefit Society
Dorking Solar Group ,51.22935,-0.33607,Solar,21,Community Benefit Society
Dorset Community Energy ,50.61108,-2.46056,Solar,1662,Registered Society
Eastry Energy (AKA OVESCO Sunny Solar Schools),50.87243,0.011308,Solar,250,School
en10ergy,51.60607,-0.08211,Solar,107,Registered Society
Energise Barnsley,53.55162,-1.4828,Solar,1500,Community Benefit Society
Energise South ,50.85369,0.558336,Solar,495,Community Benefit Society
Energise Stur Valley Industrial and Provident  [ESVIPS],50.88054,-2.28974,Solar,50,Registered society
Energy Alton,51.14529,-0.99308,Solar,10,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Exeter Community Energy,50.72293,-3.52439,Solar,476,Registered Society
Fal Energy Partnership,50.22715,-5.08798,Solar,30,Registered Society
Ferry Farm  Solar,50.17158,-5.12812,Solar,5000,Community Benefit Society
Forest Row Energy Cooperative ,51.09269,0.031347,Solar,4,Registered society
Friends of Millhouses Park,53.35479,-1.50961,Solar,4,Charitable incorporated organisation
Frome Renewable Energy Co-operative,51.22938,-2.32493,Solar,200,Registered society
Gawcott Fields  Solar Project CIC,50.23606,-5.18826,Solar,4200,"Private limited Company
                       Community Interest Company (CIC)"
Gloucestershire Community Energy,51.85816,-2.23064,Solar,46,Registered Society
Goring & Streatley Sustainability Group,51.52191,-1.1544,Solar,67,Private company limited by guarantee without share capital
Grand Union Community Energy ,51.75994,-0.56417,Solar,50,Registered Society
